number,italian,english,german
1,condividere,to share,teilen
2,soppratutto,especially,besonders
3,infatti,in fact,in der Tat
4,comunque,anyway,jedenfalls
5,l'ascesa,the ascent,Aufstieg
6,discesa,descent,Abstieg
7,salire,to go up,aufsteigen
8,scendere,to go down,absteigen
9,patente,driving license,Führerschein
10,la rete,the network,Das Netz
11,rifiutare,to refuse,ablehnen
12,sottolineare,to emphasize / to underline,"betonen, unterstreichen"
13,contro,against,gegen
14,l'ambito,the field / the scope,Bereich
15,fare bollire l'acqua,to boil water,wasser kochen
16,bruciare,to burn,brennen
17,ringraziare,to thank,danken
18,attraversare,to cross,überqueren
19,controllare,to control / to check,überprüfen
20,accendere,to turn on,anschalten
21,spegnere,to turn off,ausschalten
22,affitare,to rent,mieten
23,partire,to leave,abreisen
24,indicare,to indicate,anzeigen
25,chiedere,to ask,fragen
26,dipingere,to paint,malen
27,piangere,to cry,weinen
28,tenere,to keep / to hold,halten
29,filmare,to film,filmen
30,aggiungere,to add,hinzufügen
31,fallire,to fail,scheitern
32,disegnare,to draw,zeichnen
33,stampare,to print,drucken
34,giudicare,to judge,beurteilen
35,appartenere,to belong,"zustehen / gehören"
36,svuotare,to empty,entleeren
37,ripetere,to repeat,wiederholen
38,rispondere,to answer,antworten
39,spaventare,to scare,erschrecken
40,riposare,to rest,ausruhen
41,ricevere,to receive,etwas von jmd. erhalten
42,sostituire,to replace,ersetzen
43,cìo,that (whole sentence), das (ganzer Satz)
44,cìo,that (the thing), das (la cosa che)
45,successivo,next,nächster
46,precedente,previous,vorheriger
47,dito,finger,Finger
48,le spalle,shoulders,Schultern
49,pollice,thumb,Daumen
50,evitare,to avoid,vermeiden
51,figgere,to fry,braten
52,colpire,to hit,schlagen
53,guadagnare,to earn,verdienen
54,descrivere,to describe,beschreiben
55,annoiare,to annoy / to bore,langweilen
56,contenere,to contain,enthalten
57,esprimere,to express,ausdrücken
58,spendere,to spend,ausgeben
59,temere,to fear,fürchten
60,predire,to predict,voraussagen
61,suggerire,to suggest,vorschlagen
