number,italian,english,german
1,essere,to be,sein
2,avere,to have,haben
3,fare,to do,machen
4,venire,to come,kommen
5,stare,to stay,bleiben
6,volere,to want,wollen
7,andare,to go,gehen
8,dire,to say,sagen
9,conoscere,to know,kennen
10,sapere,to know,wissen
11,vedere,to see,sehen
12,trovare,to find,finden
13,dare,to give,geben
14,pensare,to think,denken
15,parlare,to speak,sprechen
16,mettere,to put,legen
17,prendere,to take,nehmen
18,portare,to bring,bringen
19,arrivare,to arrive,ankommen
20,chiedere,to ask,fragen
21,credere,to believe,glauben
22,lasciare,to leave,verlassen
23,sentire,to feel,fühlen
24,tenere,to hold,halten
25,diventare,to become,werden
26,capire,to understand,verstehen
27,rimanere,to stay,bleiben
28,passare,to pass,vorbeigehen
29,entrare,to enter,eintreten
30,lavorare,to work,arbeiten
31,vivere,to live,leben
32,ricordare,to remember,erinnern
33,usare,to use,benutzen
34,chiamare,to call,nennen
35,morire,to die,sterben
36,piacere,to please,gefallen
37,guardare,to look,schauen
38,aprire,to open,öffnen
39,seguire,to follow,folgen
40,aspettare,to wait,warten
41,decidere,to decide,entscheiden
42,scrivere,to write,schreiben
43,finire,to finish,beenden
44,mangiare,to eat,essen
45,bere,to drink,trinken
46,leggere,to read,lesen
47,unire,to unite,vereinigen
48,cambiare,to change,ändern
49,offrire,to offer,anbieten
50,giocare,to play,spielen
51,perdere,to lose,verlieren
52,provare,to try,versuchen
53,costruire,to build,bauen
54,rispondere,to answer,antworten
55,indicare,to indicate,anzeigen
56,succedere,to happen,geschehen
57,chiudere,to close,schließen
58,aiutare,to help,helfen
59,amare,to love,lieben
60,scegliere,to choose,wählen
61,aggiungere,to add,hinzufügen
62,mancare,to miss,vermissen
63,ricevere,to receive,erhalten
64,guidare,to lead,führen
65,dimostrare,to show,zeigen
66,significare,to mean,bedeuten
67,incontrare,to meet,treffen
68,pagare,to pay,bezahlen
69,crescere,to grow,wachsen
70,spiegare,to explain,erklären
71,cadere,to fall,fallen
72,colpire,to hit,schlagen
73,ascoltare,to listen,hören
74,fermare,to stop,stoppen
75,studiare,to study,studieren
76,controllare,to check,überprüfen
77,mandare,to send,senden
78,correre,to run,rennen
79,girare,to turn,abbiegen
80,ritornare,to return,zurückkehren
81,invitare,to invite,einladen
82,dimenticare,to forget,vergessen
83,vendere,to sell,verkaufen
84,descrivere,to describe,beschreiben
85,salvare,to save,speichern
86,scusare,to excuse,entschuldigen
87,tirare,to pull,ziehen
88,attraversare,to cross,überqueren
89,imparare,to learn,lernen
90,preferire,to prefer,bevorzugen
91,bastare,to suffice,genügen
92,durare,to last,dauern
93,cercare,to search,suchen
94,suonare,to play,spielen
95,prestare,to lend,leihen
96,ringraziare,to thank,danken
97,insegnare,to teach,lehren
98,spingere,to push,drücken
99,costare,to cost,kosten
100,cantare,to sing,singen
101,dormire,to sleep,schlafen
102,sedere,to sit,sitzen
103,giudicare,to judge,beurteilen
104,visitare,to visit,besuchen
105,spostare,to move,bewegen
106,comprare,to buy,kaufen
107,ridere,to laugh,lachen
108,volare,to fly,fliegen
109,ferire,to wound,verletzen
110,indossare,to wear,tragen
111,guadagnare,to earn,verdienen
112,rompere,to break,brechen
113,piangere,to cry,weinen
114,disegnare,to draw,zeichnen
115,viaggiare,to travel,reisen
116,sorridere,to smile,lächeln
117,camminare,to walk,gehen
118,rubare,to steal,stehlen
119,abbassare,to lower,senken
120,accendere,to turn on,anschalten
121,pescare,to fish,fischen
122,bruciare,to burn,brennen
123,riempire,to fill,füllen
124,mentire,to lie,lügen
125,pulire,to clean,reinigen
126,fallire,to fail,scheitern
127,riposare,to rest,ausruhen
128,fumare,to smoke,rauchen
129,supporre,to suppose,annehmen
130,prenotare,to book,buchen
131,coltivare,to grow,anbauen
132,lavare,to wash,waschen
133,baciare,to kiss,küssen
134,allenare,to train,trainieren
135,esplorare,to explore,erkunden
136,riparare,to repair,reparieren
137,parcheggiare,to park,parken
138,cucinare,to cook,kochen
139,gridare,to shout,schreien
140,nuotare,to swim,schwimmen
141,svuotare,to empty,leeren
142,pianificare,to plan,planen
143,asciugare,to dry,trocknen
144,friggere,to fry,braten
145,arrostire,to roast,rösten
146,migliorare,to improve,verbessern
147,sembrare,to look like,aussehen
148,accettare,to accept,akzeptieren
149,partire,to leave,abfahren
150,dispiacere,to be sorry,leidtun
151,iniziare,to start,beginnen
152,permettere,to allow,erlauben
153,vincere,to win,gewinnen
154,piovere,to rain,regnen
155,riconoscere,to recognize,erkennen
156,produrre,to produce,produzieren
157,cominciare,to start,anfangen
158,insistere,to insist,beharren
159,esprimere,to express,ausdrücken
160,tentare,to try,versuchen
161,ripetere,to wait,wiederholen
162,svegliare,to wake up,aufwachen
163,noleggiare,to rent,mieten
164,sognare,to dream,träumen
165,preoccupare,to worry,sich sorgen
166,spaventare,to scare,erschrecken
167,odiare,to hate,hassen
168,confondere,to confuse,verwirren
169,sperare,to hope,hoffen
170,saltare,to jump,springen
171,appartenere,to belong,gehören
172,concordare,to agree,vereinbaren
173,immaginare,to imagine,vorstellen
174,restare,to stay,bleiben
175,toccare,to touch,berühren
176,ballare,to dance,tanzen
177,filmare,to film,filmen
178,dipingere,to paint,malen
179,fotografare,to take a picture,fotografieren
180,ricercare,to research,erforschen
181,inviare,to send,senden
182,telefonare,to call,telefonieren
183,stampare,to print,drucken
184,nevicare,to snow,schneien
185,affittare,to rent,mieten
186,votare,to vote,wählen
